"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.52821129216861,0.372,0.031,0,"18","TRAV1-2"
0,3.16051097767022,0.81,0.11,0,"18","GZMK"
1.65860702920529e-145,2.61232136864825,0.299,0.047,3.26629482261397e-141,"18","EOMES"
4.52596430436547e-272,2.57026548809851,0.9,0.278,8.91298150458691e-268,"18","DUSP2"
4.79684415889126e-157,1.43147780129323,0.438,0.084,9.44642520210455e-153,"19","CLU"
1.38029580738949e-154,1.40643967684042,0.331,0.05,2.71821653349213e-150,"19","MYL9"
1.99157856777245e-53,1.40599219827926,0.259,0.071,3.92201567351429e-49,"19","MAP3K7CL"
6.07234659887605e-186,1.30354102001149,0.418,0.066,1.19582721571666e-181,"19","SPARC"
5.21116691742207e-204,1.25850810154747,0.458,0.073,1.02623510104793e-199,"19","CAVIN2"
0,12.3469579510913,0.78,0,0,"20","LRRC26"
0,12.1140555165987,0.355,0,0,"20","AC097375.1"
0,12.0646829031274,0.502,0,0,"20","SHD"
0,12.0201885931345,0.319,0,0,"20","AL513493.1"
0,11.9934216835717,0.696,0,0,"20","SCT"
1.16430338683661e-51,1.90856217908251,0.408,0.125,2.29286265969733e-47,"21","AC026979.2"
1.84657194246357e-34,1.7590838872718,0.281,0.085,3.63645412629352e-30,"21","ADTRP"
3.19055556485305e-188,1.75103990407159,1,0.997,6.28316107386511e-184,"21","RPL41"
1.78415111876865e-40,1.52249505692237,0.399,0.135,3.5135287981911e-36,"21","FHIT"
5.78026162834575e-88,1.33958736255835,0.967,0.678,1.13830692247013e-83,"21","PCBP2"
0,4.27726607198303,1,0.057,0,"22","TRBV20-1"
0,3.63293093462419,0.783,0.073,0,"22","LINC02446"
4.63812228245689e-135,3.56243441333326,0.256,0.023,9.13385421084234e-131,"22","CD248"
8.59674223763769e-322,3.04573421917598,0.992,0.155,1.69295644885799e-317,"22","CD8B"
2.3823718924536e-58,2.45921052778011,0.283,0.054,4.69160496780887e-54,"22","NT5E"
0,12.1867341682718,0.29,0,0,"23","IFIT1B"
0,11.8070108366802,0.692,0.002,0,"23","CA1"
0,11.6109936982007,0.723,0.001,0,"23","HBM"
0,11.5232569852269,0.83,0.002,0,"23","ALAS2"
0,11.5130938829391,0.991,0.166,0,"23","HBB"
0,12.3982262422755,0.298,0,0,"24","MYCN"
0,12.3514053855225,0.536,0,0,"24","CD34"
0,11.6998056917711,0.265,0,0,"24","LINC02573"
0,10.1033213211547,0.354,0,0,"24","NPR3"
0,9.93512471939304,0.354,0.001,0,"24","CRHBP"
0,9.13435358465167,0.261,0.001,0,"25","DLGAP5"
0,9.08611739899882,0.456,0.001,0,"25","BIRC5"
0,8.8727814734474,0.656,0.004,0,"25","RRM2"
0,8.84738916201914,0.717,0.004,0,"25","MKI67"
0,8.82508371263526,0.267,0.001,0,"25","CDC20"
